Study	d1	n1	d0	n0
Blondal 1989	37	92	24	90
Campbell 1991	21	107	21	105
Fagerstrom 1982	30	50	23	50
Fee 1982	23	180	15	172
Garcia 1989	21	68	5	38
Garvey 2000	75	405	17	203
Gross 1995	37	131	6	46
Hall 1985	18	41	10	36
Hall 1987	30	71	14	68
Hall 1996	24	98	28	103
Hjalmarson 1984	31	106	16	100
Huber 1988	31	54	11	60
Jarvis 1982	22	58	9	58
Jensen 1991	90	211	28	82
Killen 1984	16	44	6	20
Killen 1990	129	600	112	617
Malcolm 1980	6	73	3	121
McGovern 1992	51	146	40	127
Nakamura 1990	13	30	5	30
Niaura 1994	5	84	4	89
Niaura 1999	1	31	2	31
Pirie 1992	75	206	50	211
Puska 1979	29	116	21	113
Schneider 1985	9	30	6	30
Tonnesen 1988	23	60	12	53
Villa 1999	11	21	10	26
Zelman 1992	23	58	18	58	
